Season,Episode,Title,Description,AirDate,Rating,Voters
15,11,Gronkowsbees,"Rob Gronkowski moves in behind the Griffins; Stewie begins beekeeping, and gives them steroids, which makes them aggressive.",15 Jan. 2017,6.6,(946)
15,12,Peter's Def Jam,"When the guys start a podcast, Peter goes solo and becomes a DJ; Lois' allergy forces Brian to move into Stewie's room.",12 Feb. 2017,6.9,(896)
15,13,The Finer Strings,Peter fails to make the cut when the guys form a string quartet; Brian enjoys the life of luxury too much as Carter's seeing eye dog.,19 Feb. 2017,6.7,(866)
15,14,The Dating Game,"Quagmire discovers Tinder, forcing the guys to intervene; Stewie learns the perks of scoliosis.",5 Mar. 2017,7.2,(963)
15,15,Cop and a Half-Wit,"Peter helps Joe solve crime cases; Stewie joins a football team, and panics when he gets a concussion.",12 Mar. 2017,7.1,(891)
15,16,Saturated Fat Guy,"When Lois forces him to eat healthy food, Peter opens up his own food truck with fattening foods; Meg joins a roller derby team.",19 Mar. 2017,7.4,"(1,005)"
15,17,Peter's Lost Youth,Peter gets jealous when Lois upstages him at a Red Sox Fantasy Baseball camp; Stewie runs away when Meg babysits him.,26 Mar. 2017,6.6,(856)
15,18,The Peter Principal,Meg takes advantage of Peter's temporary job as principal to get even with her bullies; Brian and Stewie open a B&B that quickly turns into a brothel.,30 Apr. 2017,7.2,(885)
15,19,Dearly Deported,"Chris volunteers to take care of his Mexican girlfriend's twin babies, but after learning that she can't come back to the U.S, the Griffins go to Mexico.",21 May 2017,6.8,(921)
15,20,A House Full of Peters,Peter's past participation as a sperm donor catches up to him when his children start showing up at his house.,21 May 2017,7.1,(948)
16,1,Emmy-Winning Episode,"Peter decides to make ""Family Guy"" more like Emmy-winning shows so it can finally win TV's highest award.",1 Oct. 2017,8.1,"(2,072)"
16,2,Foxx in the Men House,"Peter dumps Quagmire, Joe, and Cleveland when he becomes friends with a cool paramedic.",8 Oct. 2017,7.1,"(1,104)"
