Season,Episode,Title,Description,AirDate,Rating,Voters
2,3,The Jimmy Jab Games,"The precinct holds a competition while on stand-by for a motorcade, Holt has another run-in with Deputy Chief Wuntch, Boyle needs to get an incriminating videotape from Hitchcock, and Rosa thinks Peralta still has feelings for Santiago.",12 Oct. 2014,8.1,"(3,103)"
2,4,Halloween II,"The Peralta/Holt annual Halloween bet continues when Jake challenges the Captain that he can steal his watch before midnight. Meanwhile, Gina is upset that her dance team, Floorgasm, kicks her off the squad and Terry confronts her about her bad attitude.",19 Oct. 2014,8.7,"(3,477)"
2,5,The Mole,"There's a mole in the precinct and Holt and Jake need to find out who it is before Deputy Chief Madeline Wuntch gets wind of it. Meanwhile, Terry and Rosa visit a ""silent"" disco to uncover new leads for their new drug task force.",2 Nov. 2014,8.1,"(2,958)"
2,6,Jake and Sophia,"Jake hits it off with a woman at a bar, but later finds out she is the attorney for a perp he is trying to put in jail. Meanwhile, Gina and Charles work to put their relationship behind them, and Amy is pressured into running for union rep.",9 Nov. 2014,8.1,"(2,960)"
2,7,Lockdown,"The precinct goes into lockdown mode on Thanksgiving night, and Jake, who was left in charge, is confident in his ability to keep spirits high and avoid chaos. Amy is less confident, as things spiral out of control.",16 Nov. 2014,7.7,"(2,836)"
2,8,USPIS,"While attempting to catch a drug dealer, Jake and Charles reluctantly join forces with the nerdy lead investigator at the U.S. Postal Service, Jack Danger. Meanwhile, the rest of the team helps Amy quit smoking.",23 Nov. 2014,7.8,"(2,828)"
2,9,The Road Trip,"Jake and Amy have a case early in the morning, so they stay at a hotel overnight. Jake invites Sophia and Amy's boyfriend not knowing that Amy is planning on breaking up with him.",30 Nov. 2014,8.1,"(2,939)"
2,10,The Pontiac Bandit Returns,"The Pontiac Bandit aka Doug Judy, is back in custody, after jamming up Jake and Rosa in his previous encounter with them. But when Rosa discovers that Judy knows the whereabouts of the ""Giggle Pig"" drug leader, Capt. Holt offers the perp a plea deal to help track down the drug kingpin. Meanwhile, Gina and Boyle are nervous that their parents might be getting too close, and Santiago makes Holt a Christmas gift against his wishes.",7 Dec. 2014,8.2,"(2,878)"
2,11,Stakeout,"Jake and Boyle go on a stakeout and tensions rise between the two, Rosa shows interest in Holt's nephew, and Terry writes a book for his daughters. Santiago and Gina are displeased when they assume the characters in the book are based on them.",14 Dec. 2014,7.7,"(2,779)"
2,12,Beach House,The precinct's annual getaway to Boyle's beach house is ruined when Holt guilts Peralta into inviting him along for the festivities.,4 Jan. 2015,8.2,"(2,914)"
2,13,Payback,"Jake goes to great lengths to keep Terry's secret from the rest of the precinct, and Amy gets her chance to partner up with Captain Holt.",11 Jan. 2015,7.9,"(2,747)"
2,14,Defense Rests,Jake tries to impress Sophia's boss. Gina refuses to give her blessing to her mom's engagement. Holt faces a difficult decision.,25 Jan. 2015,7.6,"(2,701)"
2,15,Windbreaker City,"Jake is heartbroken over Sophia, but his spirits are lifted when the squad is invited to a Homeland Security terrorist training simulation.",8 Feb. 2015,8.1,"(2,767)"
2,16,The Wednesday Incident,"Peralta sets out to prove that--for once--he is not the source of Captain Holt's bad mood. Boyle apprehends a notorious bank robber, who turns out to be a harmless-looking old man whom nobody else believes committed the crime.",15 Feb. 2015,7.9,"(2,713)"
2,17,Boyle-Linetti Wedding,"It's the day of Gina and Charles' parents' wedding, and the whole squad is given a job to fulfill for the ceremony. However, Jake and Amy get sidetracked chasing a criminal, and Terry struggles to officiate the wedding.",1 Mar. 2015,8.1,"(2,783)"
2,18,Captain Peralta,"Jake's mainly absentee father, Roger (guest star Bradley Whitford), comes to town to spend some time with his son. Jake can't wait to see him, but Charles is skeptical of Roger's intentions. Meanwhile, Holt tasks Amy, Terry, Gina and Rosa with an impossible brain teaser in exchange for Beyoncé tickets.",8 Mar. 2015,7.7,"(2,682)"
2,19,Sabotage,Amy and Rosa investigate Jake's claim that somebody is trying to sabotage him and get him fired. Boyle partners up with Hitchcock and Scully to solve a case. Captain Holt refuses to lie with Terry about attending Gina's dance performance.,15 Mar. 2015,7.8,"(2,656)"
2,20,AC/DC,"Jake is badly injured trying to chase a suspect, but he refuses to take time off from the job. Holt and Rosa have an awkward dinner date with their significant others, so they invite Amy and Gina along as well.",26 Apr. 2015,7.6,"(2,629)"
2,21,Det. Dave Majors,"Jake is jealous when a detective from another precinct wants to ask Amy out on a date. Linetti and Boyle try to keep Jeffords from taking a job with a private firm, but captain Holt seems to be pushing him out the door.",3 May 2015,7.9,"(2,666)"
2,22,The Chopper,"When Wuntch lets Jake work his dream case, Holt worries she is setting them up to fail. Meanwhile, Terry hopes to get his girls off the wait list for a magnet school by hosting a field trip.",10 May 2015,8.5,"(2,797)"
2,23,Johnny and Dora,"When Jake and Amy go under cover to catch an identity thief, the investigation brings them closer.",17 May 2015,9.0,"(3,708)"
3,1,New Captain,"Nobody in the precinct likes the new captain, Wuntch continues to humiliate Holt as he takes his new job in Public Relations, and Jake and Amy try to figure out what to do next after their kiss.",27 Sep. 2015,8.2,"(2,967)"
3,2,The Funeral,"The Nine-Nine gets another personnel change that could put Jake and Amy's budding relationship at risk. Meanwhile, Terry assists Holt with an important public relations matter, and Rosa and Gina try to convince Charles to rethink his affection for a fellow officer.",4 Oct. 2015,7.6,"(2,677)"
3,3,Boyle's Hunch,"Jake thinks Boyle might have met his soul-mate in Genevieve, an art gallery owner, and he tries to help set them up. Meanwhile, Rosa deals with intra-precinct theft and Holt seeks Amy's help with an image campaign.",11 Oct. 2015,7.7,"(2,600)"
3,4,The Oolong Slayer,Jake and Holt both get in trouble when they work on a serial killer case together in secret. The Vulture asks Amy and Rosa set up his birthday party. Boyle introduces Terry to a delicious new snack.,18 Oct. 2015,8.4,"(2,795)"
3,5,Halloween III,"For this year's Halloween challenge, Jake and Holt divide the precinct into teams as they try to see who can steal a crown held under lock and key in the interrogation room.",25 Oct. 2015,8.9,"(3,315)"
3,6,Into the Woods,Jake and Charles talk Terry into going camping; Rosa receives relationship advice from Holt; Gina helps Amy prepare for a presentation.,8 Nov. 2015,7.7,"(2,577)"
3,7,The Mattress,"Jake and Amy work together on a case, and wind up arguing over Jake's old, worn-out mattress. Meanwhile, Boyle scratches Holt's prized car, and the teenage boy Rosa sponsors as a ""big brother"" is in trouble with the law.",15 Nov. 2015,7.7,"(2,566)"
3,8,Ava,"Jake entertains Terry's pregnant wife, Sharon, until her water breaks sooner than expected and crisis ensues at the precinct.",22 Nov. 2015,8.1,"(2,610)"
3,9,The Swedes,"Jake and Rosa investigate a case in which they have to assist InterPol. Amy and Terry team up to help Gina study for an exam, while Captain Holt recruits Charles to double with him in a squash tournament.",6 Dec. 2015,7.7,"(2,640)"
3,10,Yippie Kayak,"Jake, Charles and Gina get into trouble while doing last-minute Christmas shopping, Terry tries to make it through the holidays without a call from the precinct, and Amy takes part in a ""Polar Swim"" with Holt and Diaz.",13 Dec. 2015,8.7,"(2,959)"
3,11,Hostage Situation,"Jake helps Charles reclaim the rights to his sperm from his ex-wife, Amy accidentally breaks Terry's nose after asking for a recommendation, and Gina helps interrogate a suspect who refuses to speak to anyone but her.",5 Jan. 2016,7.6,"(2,516)"
3,12,9 Days,"Peralta and Holt contract the Mumps while working on a cold case. Terry takes over the precinct in his place, but his ambitious plans ultimately fail. Boyle is sad over the death of his dog, but Diaz doesn't understand it.",19 Jan. 2016,7.9,"(2,686)"
3,13,The Cruise,"Jake comes face-to-face with his old nemesis Doug Judy as he and Amy go on a cruise. Meanwhile, Holt's sister comes to town for a visit, and Diaz and Boyle fight over a rent-controlled apartment which was a crime scene.",26 Jan. 2016,8.0,"(2,581)"
3,14,Karen Peralta,"On Jake's birthday, his Mom tells him she is back together with his hated father. Meanwhile, Charles has an embarrassing moment with a body cam, and Holt's ""Escape the Room"" exercise for the Nine-Nine does not go as planned.",2 Feb. 2016,7.6,"(2,440)"
3,15,The 9-8,"Chaos ensues when the Nine-Nine is forced to share their station with the Nine-Eight precinct while their station is closed, and Charles consequently becomes jealous of Jake's old partner, who is an officer in the Nine-Eight.",9 Feb. 2016,7.9,"(2,476)"
3,16,House Mouses,"Trying to get called to a ""celebrity"" case, Jake tricks Hitchcock and Scully into taking a case that might me more dangerous than everyone thought. Amy, Rosa, and Gina take the day to conquer their worst fears",16 Feb. 2016,7.7,"(2,380)"
3,17,Adrian Pimento,"The precinct gains a new detective who has just completed a 12-year undercover job with the mob, Charles' latest mess prompts the janitors to refuse to clean the precinct, and Gina directs a video for Holt.",23 Feb. 2016,7.7,"(2,448)"
3,18,Cheddar,"While Holt is en route to visit Kevin in Paris, Jake and Amy inadvertently lose his dog. Meanwhile, Charles has laser eye surgery, and the sexual tension between Rosa and Adrian Pimento disgusts Terry.",1 Mar. 2016,7.7,"(2,461)"
3,19,Terry Kitties,"Terry enlists Jake's help in solving a twenty year old case which his old precinct never let him forget, Charles allows Adrian Pimento to stay at his place and soon regrets it, while Amy, Rosa and Holt attend a class together.",15 Mar. 2016,7.6,"(2,346)"
3,20,Paranoia,"The precinct tries to set up perfect bachelor and bachelorette parties for Adrian and Rosa after they announce their engagement, but Adrian's party falls apart when he tells everyone that someone is stalking him and steals the party bus.",29 Mar. 2016,8.1,"(2,404)"
3,21,Maximum Security,"With Adrian off the grid and in hiding, the rest of the squad scramble to track down the sister of Figgis, the mobster behind the operation, and throw a fake funeral to flush out Figgis' hit man.",5 Apr. 2016,8.0,"(2,405)"
3,22,Bureau,"While Amy continues to work on Figgis' sister Maura on the inside, Jake, Rosa and Holt team up with Bob Annderson to track down the FBI mole. Meanwhile, Gina helps Terry work out the culprit behind a press leak.",12 Apr. 2016,8.6,"(2,580)"
3,23,Greg and Larry,"After a surprising turn of events in the Nine-Nine's attempt to track down Adrian Pimento's hitman, the precinct drops everything when they suspect Holt is in danger.",19 Apr. 2016,8.9,"(2,981)"
4,1,"Coral Palms, Part 1","Jake and Holt adjust to their new lives in Florida under the Witness Protection Program while Jimmy ""The Butcher"" Figgis remains on the loose.",20 Sep. 2016,8.1,"(2,714)"
4,2,"Coral Palms, Part 2","Jake and Holt plan their attack on Jimmy ""The Butcher"" Figgis, only to end up on the other side of the interrogation table.",27 Sep. 2016,8.1,"(2,574)"
4,3,"Coral Palms, Part 3","The team goes to Florida to help Jake and Holt take down Jimmy Figgis, but their plan falls through due to an unexpected injury and another interruption from Sheriff Reynolds.",4 Oct. 2016,8.3,"(2,585)"
4,4,The Night Shift,"Jake, on his first case back at the precinct, commandeers the vehicle of Jess Day, (from New Girl) who's visiting New York. In the meantime, Holt tries to increase office morale and Amy wants to know why Rosa is taking such long breaks.",11 Oct. 2016,7.5,"(2,472)"
4,5,Halloween IV,The squad competes in the annual Halloween heist to win the title of Ultimate Detective Slash Genius.,18 Oct. 2016,8.6,"(2,926)"
4,6,Monster in the Closet,The Nine-Nine throws a wedding for Pimento and Rosa.,15 Nov. 2016,7.8,"(2,362)"
4,7,Mr. Santiago,"Amy's father, a former cop, comes to Thanksgiving dinner and Jake tries to impress him, leaving Charles on turkey duty. In the meantime, Holt helps Pimento come to terms with the fact that he can no longer be a police officer.",22 Nov. 2016,8.1,"(2,498)"
4,8,Skyfire Cycle,"Terry meets his lifelong hero, a famous author who's received death threats. In other events, Gina tries to choose the location of the Boyle family vacation and Amy sides with Kevin in his argument with Holt over a math puzzle.",29 Nov. 2016,7.7,"(2,368)"
4,9,The Overmining,Jake and Holt help Captain CJ with a big case.,6 Dec. 2016,7.9,"(2,328)"
4,10,Captain Latvia,Jake and Charles face off against a Latvian criminal ring when Jake helps Charles find his son's favorite toy for Christmas.,13 Dec. 2016,7.5,"(2,344)"
4,11,"The Fugitive, Part 1","The squad goes on a manhunt for a group of convicts who've escaped from a prison van on the streets of Brooklyn. When one fugitive is still loose, Jake gains a surprising ally.",1 Jan. 2017,8.4,"(2,485)"
4,12,"The Fugitive, Part 2","The squad goes on a manhunt for a group of convicts who've escaped from a prison van on the streets of Brooklyn. When one fugitive is still loose, Jake gains a surprising ally.",1 Jan. 2017,8.4,"(2,237)"
4,13,The Audit,The squad tries to save their precinct from getting shut down when it's being audited by Amy's ex-boyfriend Teddy.,11 Apr. 2017,7.7,"(2,257)"
4,14,Serve & Protect,Jake and Rosa investigate a case of burglary that occurred on the set of one of their favorite detective shows as Terry's ex takes over auditing the Nine-Nine.,18 Apr. 2017,7.8,"(2,262)"
4,15,The Last Ride,Jake and Charles search for a bike thief on what may be their last case together.,25 Apr. 2017,8.2,"(2,351)"
4,16,Moo Moo,Terry and Holt have different ideas for dealing with a fellow police officer who creates trouble for Terry in his own neighborhood.,2 May 2017,8.8,"(4,483)"
4,17,Cop-Con,Holt tells the squad to be on their best behavior at Cop-Con.,9 May 2017,8.2,"(2,307)"
4,18,Chasing Amy,Amy disappears just before the Sergeant exam.,9 May 2017,7.9,"(2,251)"
4,19,Your Honor,Captain Holt's mother comes to the precinct for help when her house is robbed.,16 May 2017,7.9,"(2,190)"
4,20,The Slaughterhouse,Jake and Rosa attempt to earn their idol's respect.,16 May 2017,7.9,"(2,192)"
4,21,The Bank Job,Jake and Rosa learn there's more to Lieutenant Hawkins' team than meets the eye as they continue searching for bank robbers.,23 May 2017,8.4,"(2,332)"
4,22,Crime & Punishment,Jake and Rosa are framed for a crime they didn't commit.,23 May 2017,8.5,"(2,482)"
5,1,The Big House Pt. 1,Jake and Rosa each adjust differently to life in prison.,26 Sep. 2017,8.4,"(2,732)"
5,2,The Big House Pt. 2,"Jake is torn between the warden and Romero, while a local mobster claims he can prove that Hawkins is guilty.",3 Oct. 2017,8.3,"(2,536)"
5,3,Kicks,Jake must pass an official evaluation performed by Holt in order to solve a real case.,10 Oct. 2017,7.9,"(2,327)"
5,4,HalloVeen,"The Nine-Nine has their fifth annual Halloween heist, and everyone has until midnight to claim the title of ""Amazing Human/Genius"".",17 Oct. 2017,9.4,"(5,014)"
5,5,Bad Beat,"Jake, Terry and Holt go undercover at an illegal gambling club to track down an arms dealer.",7 Nov. 2017,7.9,"(2,284)"
5,6,The Venue,The Vulture returns and threatens to take away something important from Jake and Amy.,14 Nov. 2017,7.7,"(2,280)"
