Season,Episode,Title,Description,AirDate,Rating,Voters
2,7,Chirp,"While Claire and Haley get sick at the same time, Phil wages battle against a chirping smoke detector. Manny accidentally gets one of Jay's employees fired, and Cameron wants to put Lily in a TV commercial.",3 Nov. 2010,7.6,"(2,143)"
2,8,Manny Get Your Gun,A birthday dinner for Manny at a family restaurant turns into a race for Phil and Claire and a chance for Cameron to socialize at a shopping mall while looking for a gift.,17 Nov. 2010,8.3,"(2,400)"
2,9,Mother Tucker,Jay and Manny's online diagnosis of Jay's illness makes matters worse. A visit from Cameron's mother sends Mitchell into a frenzy. Phil is more upset about Haley's breakup with Dylan than she is.,24 Nov. 2010,7.5,"(2,079)"
2,10,Dance Dance Revelation,"Claire is threatened when Gloria becomes her co-chair for a school dance, Jay bullies Phil into taking a stand during a trip to the mall, and Mitchell and Cameron discover that their daughter is a biter.",8 Dec. 2010,7.5,"(2,076)"
2,11,Slow Down Your Neighbors,"Claire tries to stop a woman from speeding in the neighborhood, which creates a business conflict for Phil. Meanwhile, Mitchell and Cameron befriend a strange new neighbor, and Gloria and Manny learn how to ride a bicycle.",5 Jan. 2011,8.1,"(2,270)"
2,12,"Our Children, Ourselves","Phil and Claire question their intelligence after a comment by Alex, Mitchell suspects that he fathered a child 8 years ago, and Gloria tells an embarrassing lie about Jay to cover up his rudeness to another couple.",12 Jan. 2011,7.8,"(2,143)"
2,13,Caught in the Act,"Phil and Claire's kids walk in on them having sex while delivering their anniversary present, Gloria tries to keep Claire from seeing an angry e-mail, and Mitchell and Cameron contemplate how to cover up a juice stain on a rug.",19 Jan. 2011,8.9,"(3,127)"
2,14,Bixby's Back,"Phil and Clair try to revisit an old Valentine's Day act, Jay tries to surprise Gloria with a romantic dinner, Mitchell and Cameron disagree over Mitchell's assistant's crush, and Manny gives Haley relationship advice.",9 Feb. 2011,8.0,"(2,097)"
2,15,Princess Party,"Dede hooks up with Claire's high school boyfriend the night before Lily's birthday party. Meanwhile, Mitchell won't let Cameron play Fizbo the Clown at the party, while Gloria self-medicates to cope with Dede.",16 Feb. 2011,7.5,"(2,085)"
2,16,Regrets Only,"Gloria helps Phil figure out why Claire is mad at him, Mitchell forgets to send out invitations to Cameron's fund raiser, and Alex tries to prove that Haley is lying when she says she has a job as a waitress.",23 Feb. 2011,8.0,"(2,080)"
