Season,Episode,Title,Description,AirDate,Rating,Voters
2,4,Go Get Mommy's Bra,"After Charlie reluctantly lends Evelyn his new car, he later discovers her bra in the back seat. Meanwhile, Alan is forced to compensate after Jake gets attached to Judith's rich and talented boyfriend.",11 Oct. 2004,7.9,"(1,221)"
2,5,Bad News from the Clinic,"Charlie is dating a self-assured woman who plays hard to get, easily dismisses him, and he finds it disarming. Rose gets Charlie to see that his new lady-friend, Sherry, is in his head because she is just like him; a self-centered, manipulative, narcissist. Charlie debates breaking it off. Alan and Jake fiercely battle wills over Jake doing his homework.",18 Oct. 2004,7.6,"(1,243)"
2,6,The Price of Healthy Gums Is Eternal Vigilance,"After confessing responsibility for a childhood shoplifting incident blamed on Alan, Charlie seeks the forgiveness of his now infuriated brother.",25 Oct. 2004,7.9,"(1,205)"
2,7,A Kosher Slaughterhouse Out in Fontana,"Evelyn announces she is receiving an honor from the real estate industry and that Charlie and Alan will host a party in her honor. Mayhem ensues when Berta and her sister agree to cater the event, but sibling rivalry takes center stage.",8 Nov. 2004,7.4,"(1,197)"
2,8,Frankenstein and the Horny Villagers,"Alan gets carried away with a woman he met at the supermarket, and it's up to Charlie to talk some sense into him while shielding Jake and Judith from what's going on.",15 Nov. 2004,8.0,"(1,237)"
2,9,"Yes, Monsignor","Charlie runs into a newly-divorced ex, now single mom, who's willing to give him another shot. Back home, Jake tries to diagnose his learning problems.",22 Nov. 2004,7.8,"(1,253)"
2,10,The Salmon Under My Sweater,"Charlie struggles to write a jingle for a new cartoon. Meanwhile, Alan spends time with Rose, and Jake procrastinates doing a book report.",29 Nov. 2004,8.0,"(1,239)"
2,11,Last Chance to See Those Tattoos,"Charlie sets out to find who started a derogatory web site about him. Meanwhile, Alan overhears something he shouldn't on Jake's webcam.",13 Dec. 2004,8.0,"(1,262)"
2,12,A Lung Full of Alan,An old classmate is in town while Charlie and Alan spar over whom she likes more.,3 Jan. 2005,8.0,"(1,304)"
2,13,Zejdz z Zmoich Wlosów,Tensions rise after an earthquake displaces Judith to Charlie's house.,17 Jan. 2005,8.2,"(1,256)"
2,14,Those Big Pink Things with Coconut,Evelyn's condescending attitude towards Jake's good grades sets Charlie and Alan out for revenge.,31 Jan. 2005,7.7,"(1,146)"
2,15,Smell the Umbrella Stand,Charlie and Alan's weekend trip to Las Vegas has a little trouble getting off the ground.,7 Feb. 2005,7.9,"(1,174)"
2,16,Can You Eat Human Flesh with Wooden Teeth?,"It's the week of hell as Judith's out of town, Alan's got Jake, and nothing seems to be going right.",14 Feb. 2005,8.2,"(1,259)"
2,17,"Woo-Hoo, a Hernia-Exam!",Berta teaches Jake something about cleanliness while Charlie's in pain after a sexual encounter went horribly wrong.,21 Feb. 2005,7.9,"(1,243)"
2,18,"It Was Mame, Mom",Charlie cons Alan into being his date at his gay friend's dinner party. But how long can they keep up the act?,7 Mar. 2005,8.1,"(1,348)"
2,19,"A Low, Guttural Tongue-Flapping Noise","A freak food-flinging accident leaves Alan with impaired vision, which doesn't bode well especially when he draws a liking to one of Charlie's exes.",21 Mar. 2005,7.9,"(1,218)"
2,20,I Always Wanted a Shaved Monkey,Rose intervenes after Alan and Charlie come to blows over some of their unresolved issues.,18 Apr. 2005,7.7,"(1,217)"
2,21,A Sympathetic Crotch to Cry On,"After one of her ex-husbands dies, Evelyn summons Alan, Charlie, and Jake to the funeral, where Charlie takes a keen interest in the widow.",2 May 2005,7.8,"(1,200)"
2,22,That Old Hose Bag Is My Mother,"Alan borrows money from Evelyn to buy a Porsche. However, life doesn't become as glamorous as he expects.",9 May 2005,7.6,"(1,173)"
2,23,"Squab, Squab, Squab, Squab, Squab","After finding out that Jake has spent the night at his other grandparents' house, Evelyn insists that Jake spend a night at her place. After convincing Jake to stay at her place, Alan and Charlie worry about how Jake will be affected by his overnight visit.",16 May 2005,8.7,"(1,596)"
2,24,Does This Smell Funny to You,Jake recounts his weekend in which Charlie's latest fling is with a woman who turns out to be married to a now very angry old man.,23 May 2005,8.3,"(1,307)"
3,1,Weekend in Bangkok with Two Olympic Gymnasts,"After Alan falls off the roof, Charlie has to look after the adolescent and increasingly obnoxious Jake for the weekend.",19 Sep. 2005,7.9,"(1,231)"
