Season,Episode,Title,Description,AirDate,Rating,Voters
3,23,Bart's Friend Falls in Love,Bart becomes jealous when Milhouse falls in love with a new student named Samantha; Homer accidentally receives a vocabulary-building tape instead of a weight-loss one.,7 May 1992,7.7,"(2,834)"
3,24,"Brother, Can You Spare Two Dimes?","After Homer ""wins"" a $2000 settlement with the plant for radiation affecting his sperm count, his brother Herb comes to Springfield with an idea that could help him get his fortune back.",27 Aug. 1992,8.2,"(2,978)"
4,1,Kamp Krusty,"Bart and Lisa attend ""Kamp Krusty"" but it is nothing like they thought it would be; Homer's hair grows back and he loses weight while the kids are away.",24 Sep. 1992,8.5,"(3,516)"
4,2,A Streetcar Named Marge,"Marge stars in a musical adaptation of A Streetcar Named Desire, but is angry with Homer's lack of interest; Maggie squares off with her strict new daycare owner.",1 Oct. 1992,8.1,"(3,223)"
4,3,Homer the Heretic,"Homer decides to stay at home every Sunday while the rest of the family continues to attend church, and soon finds himself in an ominous situation.",8 Oct. 1992,8.9,"(4,510)"
4,4,Lisa the Beauty Queen,Homer enters Lisa in the Little Miss Springfield pageant to build her self-esteem.,15 Oct. 1992,7.7,"(2,944)"
4,5,Treehouse of Horror III,An evil Krusty the Clown doll tries to kill Homer; Marge is captured by a giant ape who falls in love with her; Bart inadvertently raises the dead.,29 Oct. 1992,8.4,"(3,471)"
4,6,Itchy & Scratchy: The Movie,"With Bart continually getting in trouble, Homer bans him from seeing the new Itchy & Scratchy movie.",3 Nov. 1992,8.2,"(3,135)"
4,7,Marge Gets a Job,"When Marge takes a job at the power plant, Mr. Burns falls in love with her; Bart ""cries wolf"" to avoid taking a test.",5 Nov. 1992,7.8,"(2,823)"
4,8,New Kid on the Block,"Bart develops a crush on his new neighbor, only to discover that she's dating Jimbo Jones; Homer sues an all-you-can-eat restaurant after he's kicked out.",12 Nov. 1992,8.2,"(3,070)"
4,9,Mr. Plow,"Homer opens a successful snow-plowing business, only to inspire Barney to start a rival outfit that puts him out of work.",19 Nov. 1992,8.8,"(3,933)"
4,10,Lisa's First Word,"While trying to coax Maggie into saying her first word, Homer and Marge talk about how Lisa spoke hers.",3 Dec. 1992,8.7,"(3,345)"
4,11,Homer's Triple Bypass,"Years of poor eating habits catch up with Homer when he suffers a massive heart attack, but the family can't afford the triple bypass operation he needs.",17 Dec. 1992,8.6,"(3,705)"
4,12,Marge vs. the Monorail,"After receiving a considerable donation of money, Springfield builds a monorail system with Homer as the conductor, unaware they've just boarded a one-way train to Hell.",14 Jan. 1993,9.1,"(4,987)"
4,13,Selma's Choice,"Selma starts to feel broody, but after taking Bart and Lisa to Duff Gardens, she changes her mind.",21 Jan. 1993,8.0,"(2,851)"
4,14,Brother from the Same Planet,"When Bart gets tired of Homer's horrible parenting skills, he enrolls in the ""Bigger Brother"" program where he's assigned a fantastic role model.",4 Feb. 1993,8.2,"(2,884)"
4,15,I Love Lisa,"Lisa gives Ralph a Valentine's card out of pity, but soon regrets it when he develops an unwanted crush on her.",11 Feb. 1993,8.4,"(3,133)"
4,16,Duffless,"After Homer loses his license for DUI, Marge pressures him to give up beer for a month; Lisa attempts to prove that Bart is less intelligent than a hamster.",18 Feb. 1993,8.3,"(2,945)"
4,17,Last Exit to Springfield,"When Mr. Burns revokes the plant's dental plan, forcing Lisa to be fitted with cheap, ugly braces, Homer leads its union into going on strike.",11 Mar. 1993,9.0,"(4,556)"
4,18,So It's Come to This: A Simpsons Clip Show,"As Homer recovers in hospital due to Bart's disastrous April Fool's Day prank, the family reminiscences over earlier hardships.",1 Apr. 1993,7.0,"(2,622)"
4,19,The Front,"Bart and Lisa convince Grampa to let them use his name for episodes of ""Itchy and Scratchy"" they have written; Homer re-takes a test he failed in high school.",15 Apr. 1993,8.1,"(2,732)"
4,20,Whacking Day,Marge home-schools Bart after he is expelled from Springfield Elementary; Lisa protests a barbaric local holiday centered around clubbing snakes to death.,29 Apr. 1993,8.1,"(2,939)"
4,21,Marge in Chains,"A misunderstanding leads to Marge being imprisoned for shoplifting, with her absence soon descending the family, and eventually, the town into chaos.",6 May 1993,7.7,"(2,676)"
4,22,Krusty Gets Kancelled,"When Krusty's show is canceled after losing viewers to a ventriloquist and his dummy, Bart and Lisa organize a celebrity-filled comeback special for their favorite Clown.",13 May 1993,8.1,"(2,984)"
5,1,Homer's Barbershop Quartet,"After the kids find a record with Homer's picture on it, he recalls the story of how he achieved fame in the 1980s with his barbershop quartet, The Be Sharps.",30 Sep. 1993,8.5,"(3,484)"
5,2,Cape Feare,"After being released from prison on parole, Sideshow Bob plots to murder Bart.",7 Oct. 1993,9.1,"(4,943)"
5,3,Homer Goes to College,"When a surprise inspection of the nuclear power plant reveals that Homer is not qualified to do his job, he is forced to go to college.",14 Oct. 1993,8.5,"(3,505)"
5,4,Rosebud,"After his birthday party goes wrong, Mr. Burns begins to want his childhood toy, a teddy bear named Bobo; Homer finds that Maggie is in possession of the doll.",21 Oct. 1993,8.8,"(3,849)"
5,5,Treehouse of Horror IV,"Homer sells his soul to the Devil for a donut, Bart contends with a gremlin on the side of the school bus which only he can see, and the family discovers that Mr. Burns is a vampire.",28 Oct. 1993,8.8,"(3,611)"
5,6,Marge on the Lam,A girls' night out turns into a high speed chase when Marge learns her friend is driving a stolen car.,4 Nov. 1993,8.0,"(2,784)"
5,7,Bart's Inner Child,"Brad Goodman, a self-help guru, encourages Springfield to act more like Bart, with disastrous results.",11 Nov. 1993,7.6,"(2,620)"
5,8,Boy Scoutz 'n the Hood,"After joining the Junior Campers while on a sugar high, Bart reluctantly invites Homer to accompany him on the group's annual father-son rafting trip, which soon goes awry.",18 Nov. 1993,8.6,"(3,480)"
5,9,The Last Temptation of Homer,Homer's marriage is in trouble when he develops an attraction to a new co-worker; Bart undergoes medical treatments that make him look like a nerd.,9 Dec. 1993,8.5,"(3,133)"
5,10,"$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)","Mr. Burns builds a casino when Springfield decides to legalize gambling, with Marge becoming addicted to the slot machines.",16 Dec. 1993,8.5,"(3,179)"
5,11,Homer the Vigilante,An outbreak of burglaries inspires Homer to lead a vigilante group.,6 Jan. 1994,8.2,"(2,891)"
5,12,Bart Gets Famous,"Bart becomes an overnight sensation as the ""I didn't do it"" boy on Krusty the Clown's show.",3 Feb. 1994,8.1,"(2,762)"
5,13,Homer and Apu,Apu moves in with the Simpsons after losing his job when Homer gets ill from the contaminated food; James Woods takes over the Kwik-E-Mart.,10 Feb. 1994,8.2,"(2,824)"
5,14,Lisa vs. Malibu Stacy,"Angered by the vacuous phrases her Malibu Stacy doll utters, Lisa works with Malibu Stacy's original designer to create a doll with admirable traits.",17 Feb. 1994,8.1,"(3,135)"
5,15,Deep Space Homer,"In an effort to increase the dismal television ratings for their space launches, NASA decides to send an ordinary man into space, and Homer is chosen for the task.",24 Feb. 1994,8.8,"(3,793)"
5,16,Homer Loves Flanders,"After Flanders invites Homer to a football game, the pair become friends, but Homer's possessiveness and loutish behaviour slowly turns Ned against him.",17 Mar. 1994,8.5,"(3,229)"
5,17,Bart Gets an Elephant,"After Bart receives an elephant as a prize for calling in to a radio station, the animal proves to be too costly to care for and Homer decides to sell it.",31 Mar. 1994,7.8,"(2,686)"
5,18,Burns' Heir,"After coming close to death, Mr. Burns decides than it's time to find an heir to his empire, and chooses Bart because of his truly devious nature.",14 Apr. 1994,8.3,"(3,075)"
5,19,Sweet Seymour Skinner's Baadasssss Song,"Bart accidentally gets Principal Skinner fired on inspection day, with Ned Flanders taking over as his replacement.",28 Apr. 1994,8.3,"(3,151)"
5,20,The Boy Who Knew Too Much,"Bart witnesses the alleged assault of a waiter by Mayor Quimby's nephew, but coming forward will mean admitting to skipping class, and face the consequences.",5 May 1994,8.3,"(2,697)"
5,21,Lady Bouvier's Lover,"Grampa falls in love with Marge's mother, but must compete with Mr. Burns for her heart.",12 May 1994,7.5,"(2,443)"
5,22,Secrets of a Successful Marriage,"Homer begins teaching a class on how to have a successful marriage, but jeopardizes his own marriage by revealing secrets about himself and Marge.",19 May 1994,8.0,"(2,573)"
6,1,Bart of Darkness,"Confined to his room with a broken leg, Bart suspects Ned Flanders of murdering Maude; the family's new swimming pool earns Lisa popularity among the neighborhood kids.",4 Sep. 1994,8.7,"(3,330)"
6,2,Lisa's Rival,Lisa is jealous when a new girl in class is smarter than she is; Homer obtains a giant mound of sugar.,11 Sep. 1994,8.1,"(2,811)"
6,3,Another Simpsons Clip Show,The family recalls past tales of lost love.,25 Sep. 1994,5.8,"(2,474)"
6,4,Itchy & Scratchy Land,A family vacation to Itchy & Scratchy Land turns disastrous when the robots malfunction and turn on the tourists.,2 Oct. 1994,8.6,"(3,152)"
6,5,Sideshow Bob Roberts,"When Sideshow Bob is released from prison and is elected Mayor of Springfield, Bart and Lisa suspect foul play and are determined to expose his corruption.",9 Oct. 1994,8.2,"(2,767)"
6,6,Treehouse of Horror V,The family's job at Mr. Burns' country estate goes awry when Homer goes mad; Homer's attempt to repair a toaster results in inadvertent time travel; The school staff turn cannibalistic.,30 Oct. 1994,9.2,"(4,410)"
6,7,Bart's Girlfriend,Bart falls for Reverend Lovejoy's daughter and is surprised when she becomes a bad influence on him.,6 Nov. 1994,8.0,"(2,758)"
6,8,Lisa on Ice,Sibling rivalry between Bart and Lisa ensues when they become the star players of their respective ice hockey teams.,13 Nov. 1994,8.6,"(3,013)"
6,9,Homer Badman,Homer accidentally lands himself in trouble with the law and with the kids' babysitter after stealing a gummy replica at a candy convention.,27 Nov. 1994,8.9,"(4,143)"
6,10,Grampa vs. Sexual Inadequacy,Homer and Abe hit the road to sell Abe's miraculous aphrodisiac.,4 Dec. 1994,8.0,"(2,567)"
6,11,Fear of Flying,Marge goes into therapy to cure her of her traumatizing fear of flying.,18 Dec. 1994,7.7,"(2,622)"
6,12,Homer the Great,"Homer becomes a member of a mysterious organization called the Stonecutters and is heralded as ""the chosen one"".",8 Jan. 1995,9.0,"(3,857)"
6,13,And Maggie Makes Three,Homer recounts the story of Maggie's birth when the kids ask why there are no photos of her in the family album.,22 Jan. 1995,8.8,"(3,382)"
6,14,Bart's Comet,Bart discovers a comet that is on a collision course with Springfield.,5 Feb. 1995,8.7,"(3,017)"
6,15,Homie the Clown,"Homer becomes a Krusty the Clown stand-in, but is mistaken for the real Krusty by the Springfield mafia.",12 Feb. 1995,8.6,"(3,048)"
6,16,Bart vs. Australia,"After he makes a collect call to Australia and refuses to pay for it, Bart sparks an international incident, with the Simpsons forced to travel to the country in order to repair political relations.",19 Feb. 1995,8.5,"(3,187)"
6,17,Homer vs. Patty and Selma,"Desperate for money, Homer takes a loan from Patty and Selma; Bart discovers a natural talent for ballet.",26 Feb. 1995,7.8,"(2,454)"
6,18,A Star Is Burns,"The citizens of Springfield host their own film festival, with popular movie critic Jay Sherman arriving from New York to judge.",5 Mar. 1995,8.5,"(2,993)"
6,19,Lisa's Wedding,A fortune teller gives Lisa a look at her wedding in the year 2010.,19 Mar. 1995,8.3,"(2,872)"
6,20,Two Dozen and One Greyhounds,"Santa's Little Helper's new mate has puppies, and Mr. Burns schemes to steal them and make them into a coat.",9 Apr. 1995,8.1,"(2,561)"
6,21,The PTA Disbands,"Bart manipulates Mrs. Krabappel into leading a teachers' strike against Principal Skinner, but is perturbed when Marge becomes his substitute.",16 Apr. 1995,8.0,"(2,514)"
6,22,'Round Springfield,"When Bart is hospitalized, Lisa runs into her mentor Bleeding Gums Murphy, who is also a patient, and becomes devastated when he dies soon after.",30 Apr. 1995,8.1,"(2,906)"
6,23,The Springfield Connection,Marge deals with corruption and crime when she joins the Springfield police force.,7 May 1995,8.2,"(2,545)"
6,24,Lemon of Troy,"When a group of Shelbyville kids steal Springfield's sacred lemon tree, Bart and his friends venture there to get the tree back.",14 May 1995,8.7,"(3,160)"
6,25,Who Shot Mr. Burns? Part One,"After Mr. Burns steals oil from Springfield Elementary and blocks out the sun, an unknown person shoots him.",21 May 1995,9.1,"(4,055)"
7,1,Who Shot Mr. Burns? Part Two,"Mr. Burns is laying in the hospital while the investigation into his shooter begins. Every citizen has motivation, but it's Simpson DNA that has been found.",17 Sep. 1995,9.0,"(3,683)"
7,2,Radioactive Man,Milhouse is cast as Radioactive Man's sidekick in a Hollywood production of the comic book.,24 Sep. 1995,8.3,"(2,764)"
7,3,Home Sweet Home-Dum-Diddly Doodily,"Marge and Homer lose custody of the kids, who are sent to live at the Flanders' house.",1 Oct. 1995,8.4,"(2,702)"
7,4,Bart Sells His Soul,Bart casually sells his soul to Milhouse for $5 but soon regrets it; Moe converts his dank bar into a family restaurant.,8 Oct. 1995,8.8,"(3,639)"
7,5,Lisa the Vegetarian,"A trip to a local petting zoo convinces Lisa to give up meat, despite excessive pressure to convince her not to do so.",15 Oct. 1995,8.5,"(3,351)"
7,6,Treehouse of Horror VI,A lightning storm causes giant advertising mascots to come to life; The children are terrorized by Groundskeeper Willie in their dreams; Homer finds himself trapped in another dimension.,29 Oct. 1995,8.6,"(3,173)"
7,7,King Size Homer,"Homer intentionally gains more weight in order to qualify for disability and work from home, but soon realizes that being morbidly obese comes with its own problems.",5 Nov. 1995,9.0,"(4,050)"
7,8,Mother Simpson,"After faking his own death, Homer is reunited with his mother, who harbors a deep secret.",19 Nov. 1995,8.7,"(3,007)"
7,9,Sideshow Bob's Last Gleaming,"Sideshow Bob again escapes from prison and takes control of a TV screen at an air show, demanding all television stations immediately go off the air.",26 Nov. 1995,8.0,"(2,476)"
7,10,The Simpsons 138th Episode Spectacular!,Troy McClure hosts a retrospective of the first 137 episodes of The Simpsons (1989).,3 Dec. 1995,7.4,"(2,434)"
